time,_time_gateway,ACT_SNR_PMP_BO_0,ACT_SNR_PMP_BO_1,ACT_SNR_PMP_BO_2,ACT_SNR_PMP_BO_3,ACT_SNR_PMP_BO_4,SNR_PMP_UW_S_1
2025-09-17 03:47:34+00:00,2025-09-17 03:47:34,,,,,,38.5950012
2025-09-17 03:47:35+00:00,2025-09-17 03:47:35,38.0,39.0,38.0,38.0,38.0,38.6212502
2025-09-17 03:47:36+00:00,2025-09-17 03:47:36,,,,,,38.6025009
2025-09-17 03:47:37+00:00,2025-09-17 03:47:37,,,,,,38.625
2025-09-17 03:47:38+00:00,2025-09-17 03:47:38,,,,,,38.5912514
2025-09-17 03:47:39+00:00,2025-09-17 03:47:39,,,,,,38.5987511
2025-09-17 03:47:40+00:00,2025-09-17 03:47:40,38.0,39.0,38.0,38.0,38.0,38.6025009
2025-09-17 03:47:41+00:00,2025-09-17 03:47:41,,,,,,38.6025009
2025-09-17 03:47:42+00:00,2025-09-17 03:47:42,,,,,,38.5987511
2025-09-17 03:47:43+00:00,2025-09-17 03:47:43,,,,,,38.6062508
2025-09-17 03:47:44+00:00,2025-09-17 03:47:44,,,,,,38.5987511
2025-09-17 03:47:45+00:00,2025-09-17 03:47:45,38.0,39.0,38.0,38.0,38.0,38.6062508
2025-09-17 03:47:46+00:00,2025-09-17 03:47:46,,,,,,38.5950012
2025-09-17 03:47:47+00:00,2025-09-17 03:47:47,,,,,,38.6025009
2025-09-17 03:47:48+00:00,2025-09-17 03:47:48,,,,,,38.6025009
2025-09-17 03:47:49+00:00,2025-09-17 03:47:49,,,,,,38.6062508
2025-09-17 03:47:50+00:00,2025-09-17 03:47:50,38.0,39.0,38.0,38.0,38.0,38.5950012
2025-09-17 03:47:51+00:00,2025-09-17 03:47:51,,,,,,38.6062508
2025-09-17 03:47:52+00:00,2025-09-17 03:47:52,,,,,,38.6100006
2025-09-17 03:47:53+00:00,2025-09-17 03:47:53,,,,,,38.5987511
2025-09-17 03:47:54+00:00,2025-09-17 03:47:54,,,,,,38.6025009
2025-09-17 03:47:55+00:00,2025-09-17 03:47:55,38.0,39.0,39.0,38.0,38.0,38.6025009
2025-09-17 03:47:56+00:00,2025-09-17 03:47:56,,,,,,38.5950012
2025-09-17 03:47:57+00:00,2025-09-17 03:47:57,,,,,,38.6025009
2025-09-17 03:47:58+00:00,2025-09-17 03:47:58,,,,,,38.6062508
2025-09-17 03:47:59+00:00,2025-09-17 03:47:59,,,,,,38.6062508
2025-09-17 03:48:00+00:00,2025-09-17 03:48:00,38.0,38.0,38.0,38.0,38.0,38.5950012
2025-09-17 03:48:01+00:00,2025-09-17 03:48:01,,,,,,38.6137505
2025-09-17 03:48:02+00:00,2025-09-17 03:48:02,,,,,,38.5987511
2025-09-17 03:48:03+00:00,2025-09-17 03:48:03,,,,,,38.5950012
2025-09-17 03:48:04+00:00,2025-09-17 03:48:04,,,,,,38.5950012
2025-09-17 03:48:05+00:00,2025-09-17 03:48:05,38.0,38.0,38.0,38.0,38.0,38.5950012
2025-09-17 03:48:06+00:00,2025-09-17 03:48:06,,,,,,38.5950012
2025-09-17 03:48:07+00:00,2025-09-17 03:48:07,,,,,,38.5987511
2025-09-17 03:48:08+00:00,2025-09-17 03:48:08,,,,,,38.6549988
2025-09-17 03:48:09+00:00,2025-09-17 03:48:09,,,,,,42.1650009
2025-09-17 03:48:10+00:00,2025-09-17 03:48:10,38.0,38.0,38.0,38.0,38.0,49.2975006
2025-09-17 03:48:11+00:00,2025-09-17 03:48:11,,,,,,50.1074982
2025-09-17 03:48:12+00:00,2025-09-17 03:48:12,,,,,,50.1187515
2025-09-17 03:48:13+00:00,2025-09-17 03:48:13,,,,,,50.1300011
2025-09-17 03:48:14+00:00,2025-09-17 03:48:14,,,,,,50.1225014
2025-09-17 03:48:15+00:00,2025-09-17 03:48:15,43.0,43.0,43.0,43.0,43.0,50.1300011
2025-09-17 03:48:16+00:00,2025-09-17 03:48:16,,,,,,50.1225014
2025-09-17 03:48:17+00:00,2025-09-17 03:48:17,,,,,,50.1262512
2025-09-17 03:48:18+00:00,2025-09-17 03:48:18,,,,,,50.1262512
2025-09-17 03:48:19+00:00,2025-09-17 03:48:19,,,,,,50.1262512
2025-09-17 03:48:20+00:00,2025-09-17 03:48:20,43.0,43.0,43.0,43.0,43.0,50.1412506
2025-09-17 03:48:21+00:00,2025-09-17 03:48:21,,,,,,50.1262512
2025-09-17 03:48:22+00:00,2025-09-17 03:48:22,,,,,,50.1300011
2025-09-17 03:48:23+00:00,2025-09-17 03:48:23,,,,,,50.8462486
2025-09-17 03:48:24+00:00,2025-09-17 03:48:24,,,,,,51.1875
2025-09-17 03:48:25+00:00,2025-09-17 03:48:25,43.0,43.0,43.0,43.0,43.0,51.2024994
2025-09-17 03:48:26+00:00,2025-09-17 03:48:26,,,,,,51.2062492
2025-09-17 03:48:27+00:00,2025-09-17 03:48:27,,,,,,51.1987495
2025-09-17 03:48:28+00:00,2025-09-17 03:48:28,,,,,,51.2024994
2025-09-17 03:48:29+00:00,2025-09-17 03:48:29,,,,,,51.2062492
2025-09-17 03:48:30+00:00,2025-09-17 03:48:30,42.0,42.0,42.0,42.0,42.0,51.2024994
2025-09-17 03:48:31+00:00,2025-09-17 03:48:31,,,,,,51.1987495
2025-09-17 03:48:32+00:00,2025-09-17 03:48:32,,,,,,51.1987495
2025-09-17 03:48:33+00:00,2025-09-17 03:48:33,,,,,,51.2024994
2025-09-17 03:48:34+00:00,2025-09-17 03:48:34,,,,,,51.2024994
2025-09-17 03:48:35+00:00,2025-09-17 03:48:35,46.0,50.0,46.0,46.0,46.0,51.2099991
2025-09-17 03:48:36+00:00,2025-09-17 03:48:36,,,,,,51.2099991
2025-09-17 03:48:37+00:00,2025-09-17 03:48:37,,,,,,51.2024994
2025-09-17 03:48:38+00:00,2025-09-17 03:48:38,,,,,,50.7112503
2025-09-17 03:48:39+00:00,2025-09-17 03:48:39,,,,,,48.1349983
2025-09-17 03:48:40+00:00,2025-09-17 03:48:40,46.0,49.0,46.0,46.0,46.0,48.0224991
2025-09-17 03:48:41+00:00,2025-09-17 03:48:41,,,,,,48.0074997
2025-09-17 03:48:42+00:00,2025-09-17 03:48:42,,,,,,48.0074997
2025-09-17 03:48:43+00:00,2025-09-17 03:48:43,,,,,,48.0112495
2025-09-17 03:48:44+00:00,2025-09-17 03:48:44,,,,,,48.0
2025-09-17 03:48:45+00:00,2025-09-17 03:48:45,46.0,48.0,46.0,46.0,46.0,48.0074997
2025-09-17 03:48:46+00:00,2025-09-17 03:48:46,,,,,,48.0037498
2025-09-17 03:48:47+00:00,2025-09-17 03:48:47,,,,,,48.0037498
2025-09-17 03:48:48+00:00,2025-09-17 03:48:48,,,,,,48.0074997
2025-09-17 03:48:49+00:00,2025-09-17 03:48:49,,,,,,48.0112495
2025-09-17 03:48:50+00:00,2025-09-17 03:48:50,46.0,48.0,46.0,46.0,46.0,48.0074997
2025-09-17 03:48:51+00:00,2025-09-17 03:48:51,,,,,,48.0187492
2025-09-17 03:48:52+00:00,2025-09-17 03:48:52,,,,,,48.0224991
2025-09-17 03:48:53+00:00,2025-09-17 03:48:53,,,,,,48.5362511
2025-09-17 03:48:54+00:00,2025-09-17 03:48:54,,,,,,51.1762505
2025-09-17 03:48:55+00:00,2025-09-17 03:48:55,38.0,51.0,49.0,38.0,38.0,51.2024994
2025-09-17 03:48:56+00:00,2025-09-17 03:48:56,,,,,,51.2062492
2025-09-17 03:48:57+00:00,2025-09-17 03:48:57,,,,,,51.2062492
2025-09-17 03:48:58+00:00,2025-09-17 03:48:58,,,,,,51.1987495
2025-09-17 03:48:59+00:00,2025-09-17 03:48:59,,,,,,51.2062492
2025-09-17 03:49:00+00:00,2025-09-17 03:49:00,38.0,52.0,49.0,38.0,38.0,51.1949997
2025-09-17 03:49:01+00:00,2025-09-17 03:49:01,,,,,,51.2062492
2025-09-17 03:49:02+00:00,2025-09-17 03:49:02,,,,,,51.2137489
2025-09-17 03:49:03+00:00,2025-09-17 03:49:03,,,,,,51.2062492
2025-09-17 03:49:04+00:00,2025-09-17 03:49:04,,,,,,51.2062492
2025-09-17 03:49:05+00:00,2025-09-17 03:49:05,38.0,52.0,49.0,38.0,38.0,51.2024994
2025-09-17 03:49:06+00:00,2025-09-17 03:49:06,,,,,,51.1987495
2025-09-17 03:49:07+00:00,2025-09-17 03:49:07,,,,,,51.2024994
2025-09-17 03:49:08+00:00,2025-09-17 03:49:08,,,,,,53.1450005
2025-09-17 03:49:09+00:00,2025-09-17 03:49:09,,,,,,53.2837486
2025-09-17 03:49:10+00:00,2025-09-17 03:49:10,38.0,52.0,49.0,38.0,38.0,53.3062515
2025-09-17 03:49:11+00:00,2025-09-17 03:49:11,,,,,,53.3025017
2025-09-17 03:49:12+00:00,2025-09-17 03:49:12,,,,,,53.3100014
2025-09-17 03:49:13+00:00,2025-09-17 03:49:13,,,,,,53.3062515
2025-09-17 03:49:14+00:00,2025-09-17 03:49:14,,,,,,53.3100014
2025-09-17 03:49:15+00:00,2025-09-17 03:49:15,38.0,52.0,49.0,38.0,38.0,53.3100014
2025-09-17 03:49:16+00:00,2025-09-17 03:49:16,,,,,,53.3100014
2025-09-17 03:49:17+00:00,2025-09-17 03:49:17,,,,,,53.2949982
2025-09-17 03:49:18+00:00,2025-09-17 03:49:18,,,,,,53.3137512
2025-09-17 03:49:19+00:00,2025-09-17 03:49:19,,,,,,53.3100014
2025-09-17 03:49:20+00:00,2025-09-17 03:49:20,38.0,51.0,49.0,38.0,38.0,53.3062515
2025-09-17 03:49:21+00:00,2025-09-17 03:49:21,,,,,,53.3100014
2025-09-17 03:49:22+00:00,2025-09-17 03:49:22,,,,,,53.3100014
2025-09-17 03:49:23+00:00,2025-09-17 03:49:23,,,,,,53.2949982
2025-09-17 03:49:24+00:00,2025-09-17 03:49:24,,,,,,53.3062515
2025-09-17 03:49:25+00:00,2025-09-17 03:49:25,38.0,51.0,49.0,38.0,38.0,53.2949982
2025-09-17 03:49:26+00:00,2025-09-17 03:49:26,,,,,,53.3137512
2025-09-17 03:49:27+00:00,2025-09-17 03:49:27,,,,,,53.2987518
2025-09-17 03:49:28+00:00,2025-09-17 03:49:28,,,,,,53.3062515
2025-09-17 03:49:29+00:00,2025-09-17 03:49:29,,,,,,53.3062515
2025-09-17 03:49:30+00:00,2025-09-17 03:49:30,49.0,50.0,49.0,49.0,49.0,53.3137512
2025-09-17 03:49:31+00:00,2025-09-17 03:49:31,,,,,,53.2949982
2025-09-17 03:49:32+00:00,2025-09-17 03:49:32,,,,,,53.3025017
2025-09-17 03:49:33+00:00,2025-09-17 03:49:33,,,,,,53.3137512
2025-09-17 03:49:34+00:00,2025-09-17 03:49:34,,,,,,53.3062515
2025-09-17 03:49:35+00:00,2025-09-17 03:49:35,49.0,50.0,49.0,49.0,49.0,53.3062515
