time,_time_gateway,ACT_SNR_PMP_BO_0,ACT_SNR_PMP_BO_1,ACT_SNR_PMP_BO_2,ACT_SNR_PMP_BO_3,ACT_SNR_PMP_BO_4,SNR_NOX_PRED,SNR_STATUS_CODE,SNR_STAGE,SNR_MESSAGE,SNR_PMP_UW_S_1,BR1_EO_O2_A,ICF_CCS_FG_T_1,ICF_SCS_FG_T_1,ICF_TMS_NOX_A,ACC_SNR_AI_1A,ACT_STATUS
2025-09-17 01:14:31+00:00,2025-09-17 01:14:31,,,,,,,,,,38.6062508,12.0843754,1083.22498,976.5,39.5499992,1.0,
2025-09-17 01:14:32+00:00,2025-09-17 01:14:32,,,,,,,,,,38.6100006,12.1625004,1082.92505,976.5,39.5499992,1.0,
2025-09-17 01:14:33+00:00,2025-09-17 01:14:33,,,,,,,,,,38.6025009,12.1625004,1082.47498,976.575012,39.5499992,1.0,
2025-09-17 01:14:34+00:00,2025-09-17 01:14:34,,,,,,,,,,38.6399994,12.2406254,1082.25,976.5,39.5499992,1.0,
2025-09-17 01:14:35+00:00,2025-09-17 01:14:35,,,,,,,,,,38.6100006,12.3140621,1081.80005,976.5,39.5499992,1.0,
2025-09-17 01:14:36+00:00,2025-09-17 01:14:36,,,,,,,,,,38.6175003,12.3140621,1081.42505,976.5,39.5499992,1.0,
2025-09-17 01:14:37+00:00,2025-09-17 01:14:37,,,,,,,,,,38.6137505,12.3687496,1080.97498,976.5,39.6375008,1.0,
2025-09-17 01:14:38+00:00,2025-09-17 01:14:38,,,,,,,,,,38.6175003,12.40625,1080.75,976.575012,39.6375008,1.0,
2025-09-17 01:14:39+00:00,2025-09-17 01:14:39,,,,,,,,,,38.6137505,12.40625,1080.22498,976.575012,39.6375008,1.0,
2025-09-17 01:14:40+00:00,2025-09-17 01:14:40,,,,,,,,,,38.6212502,12.4406252,1079.92505,976.575012,39.6375008,1.0,
2025-09-17 01:14:41+00:00,2025-09-17 01:14:41,,,,,,,,,,38.5987511,12.4406252,1079.47498,976.5,39.6375008,1.0,
2025-09-17 01:14:42+00:00,2025-09-17 01:14:42,,,,,,,,,,38.625,12.4750004,1079.25,976.424988,39.2999992,1.0,
2025-09-17 01:14:43+00:00,2025-09-17 01:14:43,,,,,,,,,,38.6175003,12.5203123,1078.72498,976.424988,39.2999992,1.0,
2025-09-17 01:14:44+00:00,2025-09-17 01:14:44,,,,,,,,,,38.6100006,12.5203123,1078.42505,976.424988,39.2999992,1.0,
2025-09-17 01:14:45+00:00,2025-09-17 01:14:45,,,,,,,,,,38.6100006,12.5625,1077.90002,976.424988,39.2999992,1.0,1.0
2025-09-17 01:14:46+00:00,2025-09-17 01:14:46,,,,,,,,,,38.6137505,12.5968752,1077.59998,976.424988,39.2999992,1.0,
2025-09-17 01:14:47+00:00,2025-09-17 01:14:47,,,,,,,,,,38.6100006,12.5968752,1077.15002,976.424988,39.2125015,1.0,
