time,_time_gateway,ACT_SNR_PMP_BO_0,ACT_SNR_PMP_BO_1,ACT_SNR_PMP_BO_2,ACT_SNR_PMP_BO_3,ACT_SNR_PMP_BO_4,SNR_NOX_PRED,SNR_STATUS_CODE,SNR_STAGE,SNR_MESSAGE,SNR_PMP_UW_S_1,BR1_EO_O2_A,ICF_CCS_FG_T_1,ICF_SCS_FG_T_1,ICF_TMS_NOX_A,ACC_SNR_AI_1A,ACT_STATUS,NOX_30m_Value,NOX_EQ_Status,NOX_Value,SNR_EQ_UW_F_1,ACT_SNR_PMP_UW_S,SNR_EQ_UW_F_1_1,SNR_EQ_DW_F_1,SNR_EQ_UW_F_2
2025-10-02 00:57:51+00:00,2025-10-02 00:57:51,,,,,,,,,,55.4174995,3.34687495,1069.94995,984.75,8.64999962,1.0,,21.68,0.0,9.11,52.2937508,,52.2937508,0.0,243.524994
2025-10-02 00:57:52+00:00,2025-10-02 00:57:52,,,,,,,,,,55.4324989,3.2593751,1070.40002,985.875,8.63749981,1.0,,21.68,0.0,9.11,52.3031235,,52.3031235,0.0,243.449997
2025-10-02 00:57:53+00:00,2025-10-02 00:57:53,,,,,,,,,,55.4324989,3.2593751,1070.92505,987.599976,8.64999962,1.0,,21.68,0.0,9.11,52.3031235,,52.3031235,0.0,243.449997
2025-10-02 00:57:54+00:00,2025-10-02 00:57:54,,,,,,,,,,55.4137497,3.1734376,1071.30005,988.724976,8.64999962,1.0,,21.68,0.0,9.11,52.3031235,,52.3031235,0.0,241.649994
2025-10-02 00:57:55+00:00,2025-10-02 00:57:55,54.0,53.0,53.0,54.0,54.0,8.589069791682643,308.0,BO_O2_RULE,제어매트릭스 규칙 적용: O2_LOW,55.4437485,3.08124995,1071.67505,989.924988,8.64999962,1.0,,21.68,0.0,9.11,52.3031235,,52.3031235,0.0,241.649994
2025-10-02 00:57:56+00:00,2025-10-02 00:57:56,,,,,,,,,,55.4249992,3.08124995,1072.34998,991.5,8.64999962,1.0,,21.68,0.0,9.11,52.3031235,,52.3031235,0.0,241.649994
2025-10-02 00:57:57+00:00,2025-10-02 00:57:57,,,,,,,,,,55.4362488,2.99531245,1072.94995,993.224976,8.64999962,1.0,,21.68,0.0,8.72,52.3031235,,52.3031235,0.0,241.050003
2025-10-02 00:57:58+00:00,2025-10-02 00:57:58,,,,,,,,,,55.4249992,2.9203124,1073.40002,994.349976,8.64999962,1.0,,21.68,0.0,8.72,52.3031235,,52.3031235,0.0,240.149994
2025-10-02 00:57:59+00:00,2025-10-02 00:57:59,,,,,,,,,,55.4362488,2.9203124,1073.77502,995.474976,8.64999962,1.0,,21.68,0.0,8.72,52.2937508,,52.2937508,0.0,240.149994
2025-10-02 00:58:00+00:00,2025-10-02 00:58:00,54.0,53.0,53.0,54.0,54.0,9.453603896898404,308.0,BO_O2_RULE,제어매트릭스 규칙 적용: O2_LOW,55.4137497,2.8609376,1074.44995,997.125,8.64999962,1.0,0.0,21.68,0.0,8.72,52.3031235,,52.3031235,0.0,240.149994
2025-10-02 00:58:01+00:00,2025-10-02 00:58:01,,,,,,,,,,55.4249992,2.8609376,1074.82495,998.174988,8.64999962,1.0,,21.68,0.0,8.72,52.3031235,,52.3031235,0.0,240.149994
2025-10-02 00:58:02+00:00,2025-10-02 00:58:02,,,,,,,,,,55.4324989,2.82343745,1075.5,999.900024,8.64999962,1.0,,21.68,0.0,8.72,52.3031235,,52.3031235,0.0,240.149994
2025-10-02 00:58:03+00:00,2025-10-02 00:58:03,,,,,,,,,,55.4249992,2.8109374,1076.17505,1001.625,8.67500019,1.0,,21.68,0.0,8.72,52.3031235,,52.3031235,0.0,240.149994
2025-10-02 00:58:04+00:00,2025-10-02 00:58:04,,,,,,,,,,55.4399986,2.8109374,1076.625,1002.82501,8.73750019,1.0,,21.68,0.0,8.72,52.3031235,,52.3031235,0.0,240.149994
2025-10-02 00:58:05+00:00,2025-10-02 00:58:05,54.0,53.0,53.0,54.0,54.0,11.642086198653445,308.0,BO_O2_RULE,제어매트릭스 규칙 적용: O2_LOW,55.4249992,2.8125,1077.30005,1004.47498,8.72500038,1.0,,21.68,0.0,8.72,52.3031235,,52.3031235,0.0,240.074997
2025-10-02 00:58:06+00:00,2025-10-02 00:58:06,,,,,,,,,,55.4324989,2.82500005,1077.75,1005.59998,8.73750019,1.0,,21.68,0.0,8.72,52.3031235,,52.3031235,0.0,240.074997
2025-10-02 00:58:07+00:00,2025-10-02 00:58:07,,,,,,,,,,55.4512482,2.82500005,1078.42505,1007.25,8.73750019,1.0,,21.68,0.0,8.74,52.3031235,,52.3031235,0.0,240.149994
2025-10-02 00:58:08+00:00,2025-10-02 00:58:08,,,,,,,,,,55.4625015,2.83281255,1078.875,1008.375,8.73750019,1.0,,21.68,0.0,8.74,52.3031235,,52.3031235,0.0,240.149994
2025-10-02 00:58:09+00:00,2025-10-02 00:58:09,,,,,,,,,,55.4550018,2.83281255,1079.625,1010.02502,7.88749981,1.0,,21.68,0.0,8.74,52.3031235,,52.3031235,0.0,240.149994
2025-10-02 00:58:10+00:00,2025-10-02 00:58:10,54.0,53.0,53.0,54.0,54.0,13.84886944341158,307.0,BO_O2_RULE,제어매트릭스 규칙 적용: TEMP_OUT_HIGH,55.4212494,2.8187499,1080.07495,1011.07501,7.9000001,1.0,,21.68,0.0,8.74,52.3031235,,52.3031235,0.0,240.074997
2025-10-02 00:58:11+00:00,2025-10-02 00:58:11,,,,,,,,,,55.4474983,2.79375005,1080.75,1012.65002,7.9000001,1.0,,21.68,0.0,8.74,52.3031235,,52.3031235,0.0,240.149994
2025-10-02 00:58:12+00:00,2025-10-02 00:58:12,,,,,,,,,,55.4812508,2.79375005,1081.27502,1013.70001,7.88749981,1.0,,21.68,0.0,8.74,52.3031235,,52.3031235,0.0,240.225006
2025-10-02 00:58:13+00:00,2025-10-02 00:58:13,,,,,,,,,,55.4625015,2.76093745,1081.94995,1015.27502,7.92500019,1.0,,21.68,0.0,8.74,52.3031235,,52.3031235,0.0,240.074997
2025-10-02 00:58:14+00:00,2025-10-02 00:58:14,,,,,,,,,,55.4249992,2.72187495,1082.47498,1016.32501,7.9749999,1.0,,21.68,0.0,8.74,52.2937508,,52.2937508,0.0,240.149994
2025-10-02 00:58:15+00:00,2025-10-02 00:58:15,54.0,53.0,53.0,54.0,54.0,13.240748778562663,307.0,BO_O2_RULE,제어매트릭스 규칙 적용: TEMP_OUT_HIGH,55.4437485,2.72187495,1083.22498,1017.82501,7.9749999,1.0,0.0,21.68,0.0,8.74,52.3031235,,52.3031235,0.0,240.074997
2025-10-02 00:58:16+00:00,2025-10-02 00:58:16,,,,,,,,,,55.4287491,2.68437505,1083.67505,1018.875,7.9749999,1.0,,21.68,0.0,8.74,52.3031235,,52.3031235,0.0,238.725006
2025-10-02 00:58:17+00:00,2025-10-02 00:58:17,,,,,,,,,,55.4362488,2.68437505,1084.34998,1020.52502,7.9749999,1.0,,21.68,0.0,7.99,52.3031235,,52.3031235,0.0,238.649994
2025-10-02 00:58:18+00:00,2025-10-02 00:58:18,,,,,,,,,,55.4399986,2.6656251,1084.875,1021.5,7.9749999,1.0,,21.68,0.0,7.99,52.2937508,,52.2937508,0.0,238.725006
2025-10-02 00:58:19+00:00,2025-10-02 00:58:19,,,,,,,,,,55.4362488,2.6624999,1085.55005,1023.07501,8.13749981,1.0,,21.68,0.0,7.99,52.2937508,,52.2937508,0.0,238.649994
2025-10-02 00:58:20+00:00,2025-10-02 00:58:20,54.0,53.0,53.0,54.0,54.0,15.000650694060017,307.0,BO_O2_RULE,제어매트릭스 규칙 적용: TEMP_OUT_HIGH,55.4625015,2.6624999,1086.07495,1024.19995,8.14999962,1.0,,21.68,0.0,7.99,52.3031235,,52.3031235,0.0,238.649994
2025-10-02 00:58:21+00:00,2025-10-02 00:58:21,,,,,,,,,,55.4474983,2.6796875,1086.75,1025.77502,8.14999962,1.0,,21.68,0.0,7.99,52.2937508,,52.2937508,0.0,238.649994
2025-10-02 00:58:22+00:00,2025-10-02 00:58:22,,,,,,,,,,55.4625015,2.71562505,1087.27502,1026.82495,8.13749981,1.0,,21.68,0.0,7.99,52.2937508,,52.2937508,0.0,237.225006
2025-10-02 00:58:23+00:00,2025-10-02 00:58:23,,,,,,,,,,55.4662514,2.71562505,1087.94995,1028.47498,8.07499981,1.0,,21.68,0.0,7.99,52.2937508,,52.2937508,0.0,237.225006
2025-10-02 00:58:24+00:00,2025-10-02 00:58:24,,,,,,,,,,55.4362488,2.76093745,1088.47498,1029.52502,7.9749999,1.0,,21.68,0.0,7.99,52.3031235,,52.3031235,0.0,237.225006
2025-10-02 00:58:25+00:00,2025-10-02 00:58:25,54.0,52.0,52.0,54.0,54.0,15.946311971169477,307.0,BO_O2_RULE,제어매트릭스 규칙 적용: TEMP_OUT_HIGH,55.4474983,2.7984376,1089.15002,1031.09998,7.9749999,1.0,,21.68,0.0,7.99,52.2937508,,52.2937508,0.0,237.225006
2025-10-02 00:58:26+00:00,2025-10-02 00:58:26,,,,,,,,,,55.4512482,2.7984376,1089.67505,1032.22498,7.9749999,1.0,,21.68,0.0,7.99,52.2937508,,52.2937508,0.0,237.225006
2025-10-02 00:58:27+00:00,2025-10-02 00:58:27,,,,,,,,,,55.4174995,2.8125,1090.34998,1033.80005,7.98750019,1.0,,21.68,0.0,7.97,52.2937508,,52.2937508,0.0,237.225006
2025-10-02 00:58:28+00:00,2025-10-02 00:58:28,,,,,,,,,,55.4550018,2.8125,1090.875,1034.92505,7.9749999,1.0,,21.68,0.0,7.97,52.3031235,,52.3031235,0.0,237.225006
2025-10-02 00:58:29+00:00,2025-10-02 00:58:29,,,,,,,,,,55.4174995,2.7874999,1091.625,1036.5,8.0625,1.0,,21.68,0.0,7.97,52.3031235,,52.3031235,0.0,237.149994
2025-10-02 00:58:30+00:00,2025-10-02 00:58:30,54.0,52.0,52.0,54.0,54.0,16.113008841688657,307.0,BO_O2_RULE,제어매트릭스 규칙 적용: TEMP_OUT_HIGH,55.4324989,2.7281251,1092.07495,1037.625,8.0625,1.0,0.0,21.68,0.0,7.97,52.2937508,,52.2937508,0.0,237.225006
2025-10-02 00:58:31+00:00,2025-10-02 00:58:31,,,,,,,,,,55.4625015,2.7281251,1092.82495,1039.19995,8.0625,1.0,,21.68,0.0,7.97,52.1062508,,52.1062508,0.0,237.225006
2025-10-02 00:58:32+00:00,2025-10-02 00:58:32,,,,,,,,,,55.4550018,2.63593745,1093.27502,1040.17505,8.0625,1.0,,21.68,0.0,7.97,52.1062508,,52.1062508,0.0,237.225006
2025-10-02 00:58:33+00:00,2025-10-02 00:58:33,,,,,,,,,,55.4249992,2.63593745,1094.02502,1041.75,8.0625,1.0,,21.68,0.0,7.97,52.1156235,,52.1156235,0.0,237.225006
2025-10-02 00:58:34+00:00,2025-10-02 00:58:34,,,,,,,,,,55.4137497,2.5406251,1094.47498,1042.72498,8.0625,1.0,,21.68,0.0,7.97,52.1062508,,52.1062508,0.0,237.225006
2025-10-02 00:58:35+00:00,2025-10-02 00:58:35,54.0,51.0,51.0,54.0,54.0,16.56862397194085,307.0,BO_O2_RULE,제어매트릭스 규칙 적용: TEMP_OUT_HIGH,55.4287491,2.4468751,1095.22498,1044.15002,8.0625,1.0,,21.68,0.0,7.97,52.1062508,,52.1062508,0.0,237.225006
2025-10-02 00:58:36+00:00,2025-10-02 00:58:36,,,,,,,,,,55.4437485,2.4468751,1095.67505,1045.125,8.05000019,1.0,,21.68,0.0,7.97,52.1062508,,52.1062508,0.0,237.225006
2025-10-02 00:58:37+00:00,2025-10-02 00:58:37,,,,,,,,,,55.4399986,2.34062505,1096.42505,1046.55005,8.0625,1.0,,21.68,0.0,8.13,52.1156235,,52.1156235,0.0,237.225006
2025-10-02 00:58:38+00:00,2025-10-02 00:58:38,,,,,,,,,,55.4249992,2.2281251,1096.875,1047.44995,8.0625,1.0,,21.68,0.0,8.13,52.1062508,,52.1062508,0.0,237.225006
