time,_time_gateway,ACT_SNR_PMP_BO_0,ACT_SNR_PMP_BO_1,ACT_SNR_PMP_BO_2,ACT_SNR_PMP_BO_3,ACT_SNR_PMP_BO_4,SNR_NOX_PRED,SNR_STATUS_CODE,SNR_STAGE,SNR_MESSAGE,SNR_PMP_UW_S_1,BR1_EO_O2_A,ICF_CCS_FG_T_1,ICF_SCS_FG_T_1,ICF_TMS_NOX_A,ACC_SNR_AI_1A,ACT_STATUS,NOX_30m_Value,NOX_EQ_Status,NOX_Value,SNR_EQ_UW_F_1,ACT_SNR_PMP_UW_S,SNR_EQ_UW_F_1_1,SNR_EQ_DW_F_1,SNR_EQ_UW_F_2,INCINERATORSTATUS
2025-10-13 23:11:21+00:00,2025-10-13 23:11:21,,,,,,,,,,49.0987511,6.7125001,1097.25,921.974976,12.6000004,1.0,,12.5,0.0,12.64,45.5250015,43.0,45.5250015,0.0,153.449997,
2025-10-13 23:11:22+00:00,2025-10-13 23:11:22,,,,,,,,,,49.0724983,6.72187519,1097.625,921.974976,12.6000004,1.0,,12.5,0.0,12.64,44.90625,,44.90625,0.0,153.300003,
2025-10-13 23:11:23+00:00,2025-10-13 23:11:23,,,,,,,,,,49.0912514,6.72187519,1097.92505,921.974976,12.6125002,1.0,,12.5,0.0,12.64,44.6906242,,44.6906242,0.0,153.300003,
2025-10-13 23:11:24+00:00,2025-10-13 23:11:24,,,,,,,,,,48.2362518,6.7421875,1098.22498,921.974976,12.6000004,1.0,,12.5,0.0,12.64,44.3062515,,44.3062515,0.0,154.725006,
2025-10-13 23:11:25+00:00,2025-10-13 23:11:25,44.0856247,43.0,43.0,43.0,43.0,0.3233185034390349,11.0,FALLBACK,임시 추천값: (other_missing) 기존 SNR 코드: 11(FALLBACK) - 임시 추천값: (other_missing),48.0750008,6.7874999,1098.67505,921.974976,12.5375004,1.0,,12.5,0.0,12.64,44.2593765,42.0,44.2593765,0.0,156.225006,
2025-10-13 23:11:26+00:00,2025-10-13 23:11:26,,,,,,,,,,48.0712509,6.7874999,1099.125,922.049988,12.5249996,1.0,,12.5,0.0,12.69,44.0718765,,44.0718765,0.0,156.300003,
2025-10-13 23:11:27+00:00,2025-10-13 23:11:27,,,,,,,,,,48.0562515,6.8453126,1099.42505,922.125,12.5249996,1.0,,12.5,0.0,12.69,44.0343742,,44.0343742,0.0,157.649994,
2025-10-13 23:11:28+00:00,2025-10-13 23:11:28,,,,,,,,,,47.8574982,6.8453126,1099.875,922.125,12.5249996,1.0,,12.5,0.0,12.69,43.3968735,,43.3968735,0.0,156.899994,
2025-10-13 23:11:29+00:00,2025-10-13 23:11:29,,,,,,,,,,47.1037483,6.8921876,1100.09998,922.125,12.5249996,1.0,,12.5,0.0,12.69,43.0593758,,43.0593758,0.0,156.225006,
2025-10-13 23:11:30+00:00,2025-10-13 23:11:30,43.0,43.0,43.0,43.0,43.0,0.3860045121091501,11.0,FALLBACK,임시 추천값: (other_missing) 기존 SNR 코드: 11(FALLBACK) - 임시 추천값: (other_missing),47.0175018,6.9140625,1100.55005,922.125,12.3625002,1.0,,12.5,0.0,12.69,42.6187515,,42.6187515,0.0,155.175003,
2025-10-13 23:11:31+00:00,2025-10-13 23:11:31,,,,,,,,,,47.0175018,6.9140625,1100.77502,922.125,12.0124998,1.0,,12.5,0.0,12.69,42.1218758,,42.1218758,0.0,153.375,
2025-10-13 23:11:32+00:00,2025-10-13 23:11:32,,,,,,,,,,47.0175018,6.8968749,1101.15002,922.125,12.0124998,1.0,,12.5,0.0,12.69,41.7093735,,41.7093735,0.0,151.949997,
2025-10-13 23:11:33+00:00,2025-10-13 23:11:33,,,,,,,,,,47.0137482,6.8421874,1101.375,922.200012,12.0124998,1.0,,12.5,0.0,12.69,41.0999985,,41.0999985,0.0,151.574997,
2025-10-13 23:11:34+00:00,2025-10-13 23:11:34,,,,,,,,,,47.0099983,6.8421874,1101.75,922.275024,12.0124998,1.0,,12.5,0.0,12.69,40.6124992,,40.6124992,0.0,150.074997,
2025-10-13 23:11:35+00:00,2025-10-13 23:11:35,43.0,43.0,43.0,43.0,43.0,0.33565246651143255,11.0,FALLBACK,임시 추천값: (other_missing) 기존 SNR 코드: 11(FALLBACK) - 임시 추천값: (other_missing),47.0475006,6.75312519,1101.97498,922.275024,11.75,1.0,,12.5,0.0,12.69,40.3781242,,40.3781242,0.0,150.074997,
2025-10-13 23:11:36+00:00,2025-10-13 23:11:36,,,,,,,,,,47.0099983,6.75312519,1102.34998,922.349976,11.6750002,1.0,,12.5,0.0,12.02,40.3687515,,40.3687515,0.0,150.074997,
