time,_time_gateway,ACT_SNR_PMP_BO_0,ACT_SNR_PMP_BO_1,ACT_SNR_PMP_BO_2,ACT_SNR_PMP_BO_3,ACT_SNR_PMP_BO_4,SNR_NOX_PRED,SNR_STATUS_CODE,SNR_STAGE,SNR_MESSAGE,SNR_PMP_UW_S_1,BR1_EO_O2_A,ICF_CCS_FG_T_1,ICF_SCS_FG_T_1,ICF_TMS_NOX_A,ACC_SNR_AI_1A,ACT_STATUS,NOX_30m_Value,NOX_EQ_Status,NOX_Value,SNR_EQ_UW_F_1,ACT_SNR_PMP_UW_S,SNR_EQ_UW_F_1_1,SNR_EQ_DW_F_1,SNR_EQ_UW_F_2,IncineratorStatus
2025-11-05 01:40:29+00:00,2025-11-05 01:40:29,,,,,,,,,,44.1074982,9.14375019,1052.09998,879.900024,17.1875,1.0,,12.86,0.0,16.92,92.6062469,,92.6062469,0.0,123.0,0.0
2025-11-05 01:40:30+00:00,2025-11-05 01:40:30,42.0,42.0,42.0,42.0,42.0,18.539272992826195,100.0,BO_ONLY,"BO 모델 결과만 사용 (1단계 롤백, 2~4단계에서 Hz 변화 없음)",44.0849991,9.14375019,1052.25,879.900024,17.3624992,1.0,0.0,12.86,0.0,16.92,91.8937531,,91.8937531,0.0,123.0,0.0
2025-11-05 01:40:31+00:00,2025-11-05 01:40:31,,,,,,,,,,44.1112518,9.26406288,1052.32495,880.049988,17.3624992,1.0,,12.86,0.0,16.92,90.2624969,,90.2624969,0.0,123.074997,0.0
2025-11-05 01:40:32+00:00,2025-11-05 01:40:32,,,,,,,,,,44.1112518,9.37656212,1052.47498,880.200012,17.3624992,1.0,,12.86,0.0,16.92,87.75,,87.75,0.0,123.0,0.0
2025-11-05 01:40:33+00:00,2025-11-05 01:40:33,,,,,,,,,,43.3274994,9.37656212,1052.55005,880.200012,17.3500004,1.0,,12.86,0.0,16.92,85.4812469,,85.4812469,0.0,123.0,0.0
2025-11-05 01:40:34+00:00,2025-11-05 01:40:34,,,,,,,,,,43.0912514,9.47812462,1052.625,880.275024,17.6000004,1.0,,12.86,0.0,16.92,83.8687515,,83.8687515,0.0,123.0,0.0
2025-11-05 01:40:35+00:00,2025-11-05 01:40:35,39.0,39.0,39.0,39.0,39.0,17.83894308161054,100.0,BO_ONLY,"BO 모델 결과만 사용 (1단계 롤백, 2~4단계에서 Hz 변화 없음)",43.0762482,9.57187462,1052.625,880.349976,17.6124992,1.0,,12.86,0.0,17.48,83.2312469,,83.2312469,0.0,123.0,0.0
2025-11-05 01:40:36+00:00,2025-11-05 01:40:36,,,,,,,,,,43.0837517,9.57187462,1052.69995,880.424988,17.6124992,1.0,,12.86,0.0,17.48,82.1999969,,82.1999969,0.0,123.0,0.0
2025-11-05 01:40:37+00:00,2025-11-05 01:40:37,,,,,,,,,,43.0649986,9.6640625,1052.69995,880.575012,17.6124992,1.0,,12.86,0.0,17.48,80.7937469,,80.7937469,0.0,123.074997,0.0
2025-11-05 01:40:38+00:00,2025-11-05 01:40:38,,,,,,,,,,40.2299995,9.6640625,1052.77502,880.650024,17.6124992,1.0,,12.86,0.0,17.48,80.0062485,,80.0062485,0.0,122.925003,0.0
2025-11-05 01:40:39+00:00,2025-11-05 01:40:39,,,,,,,,,,39.9262505,9.74843788,1052.84998,880.650024,17.7999992,1.0,,12.86,0.0,17.48,79.1812515,,79.1812515,0.0,123.0,0.0
2025-11-05 01:40:40+00:00,2025-11-05 01:40:40,39.0,39.0,39.0,39.0,39.0,18.272885526650835,100.0,BO_ONLY,"BO 모델 결과만 사용 (1단계 롤백, 2~4단계에서 Hz 변화 없음)",39.9225006,9.82656288,1052.84998,880.724976,17.9500008,1.0,,12.86,0.0,17.48,78.4124985,,78.4124985,0.0,123.074997,0.0
2025-11-05 01:40:41+00:00,2025-11-05 01:40:41,,,,,,,,,,39.9150009,9.82656288,1052.92505,880.875,17.9500008,1.0,,12.86,0.0,17.48,77.4000015,,77.4000015,0.0,123.074997,0.0
