_time_gateway,SNR_PMP_UW_S_1,ICF_SCS_FG_T_2,ICF_TMS_NOX_A,ACT_SNR_PMP_BO_6,ACT_SNR_PMP_BO_0
2025-11-20 15:18:44,17.6812496,1046.09375,0.587499976,,
2025-11-20 15:18:45,17.6812496,1045.84998,0.725000024,,20.0
2025-11-20 15:18:46,17.6812496,1045.84998,0.725000024,,
2025-11-20 15:18:47,17.6812496,1045.93127,0.762499988,,
2025-11-20 15:18:48,17.6812496,1045.93127,0.550000012,,
2025-11-20 15:18:49,17.6812496,1045.93127,0.550000012,,
2025-11-20 15:18:50,17.6812496,1047.47498,0.412499994,,20.0
2025-11-20 15:18:51,17.6812496,1047.47498,0.412499994,,
2025-11-20 15:18:52,17.6812496,1049.6687,0.75,,
2025-11-20 15:18:53,17.6812496,1049.75,0.600000024,,
2025-11-20 15:18:54,17.6812496,1049.75,0.600000024,,
2025-11-20 15:18:55,17.6812496,1048.77502,0.5,,20.0
2025-11-20 15:18:56,17.6812496,1050.88745,0.675000012,,
2025-11-20 15:18:57,17.6812496,1050.88745,0.675000012,,
2025-11-20 15:18:58,17.6812496,1053.16248,0.662500024,,
2025-11-20 15:18:59,17.6812496,1052.51245,0.587499976,,
2025-11-20 15:19:00,17.6812496,1052.51245,0.587499976,,20.0
2025-11-20 15:19:01,17.6812496,1051.86255,0.587499976,,
2025-11-20 15:19:02,17.6812496,1051.86255,0.537500024,,
2025-11-20 15:19:03,17.6812496,1052.1062,0.537500024,,
2025-11-20 15:19:04,17.6812496,1053.7312,0.524999976,,
2025-11-20 15:19:05,17.6812496,1054.30005,0.400000006,,20.0
2025-11-20 15:19:06,17.6812496,1054.30005,0.400000006,,
2025-11-20 15:19:07,17.6812496,1056.57495,0.537500024,,
2025-11-20 15:19:08,17.6812496,1057.71252,0.837499976,,
2025-11-20 15:19:09,17.6812496,1057.71252,0.837499976,,
2025-11-20 15:19:10,17.6812496,1058.44373,0.587499976,,20.0
2025-11-20 15:19:11,17.6812496,1058.44373,0.587499976,,
2025-11-20 15:19:12,17.6812496,1058.6062,0.925000012,,
2025-11-20 15:19:13,17.6812496,1059.33752,0.612500012,,
2025-11-20 15:19:14,17.6812496,1059.09375,0.537500024,,
2025-11-20 15:19:15,17.6812496,1059.09375,0.537500024,,20.0
2025-11-20 15:19:16,17.6812496,1061.0437,1.01250005,,
2025-11-20 15:19:17,17.6812496,1061.0437,1.01250005,,
2025-11-20 15:19:18,17.6812496,1061.69373,0.699999988,,
2025-11-20 15:19:19,17.6812496,1061.69373,0.699999988,,
2025-11-20 15:19:20,17.6812496,1062.91248,0.6875,,20.0
2025-11-20 15:19:21,17.6812496,1062.91248,0.6875,,
2025-11-20 15:19:22,17.6812496,1064.375,0.612500012,,
2025-11-20 15:19:23,17.6812496,1065.1875,0.862500012,,
2025-11-20 15:19:24,17.6812496,1065.1875,0.862500012,,
2025-11-20 15:19:25,17.6812496,1066.48755,0.712499976,,20.0
2025-11-20 15:19:26,17.6812496,1065.34998,0.550000012,,
2025-11-20 15:19:27,17.6812496,1065.34998,0.550000012,,
2025-11-20 15:19:28,17.6812496,1065.1062,0.662500024,,
2025-11-20 15:19:29,17.6812496,1066.16248,0.4375,,
2025-11-20 15:19:30,17.6812496,1066.16248,0.4375,,20.0
2025-11-20 15:19:31,17.6812496,1066.65002,0.612500012,,
2025-11-20 15:19:32,17.6812496,1066.65002,0.612500012,,
2025-11-20 15:19:33,17.6812496,1068.92505,0.762499988,,
2025-11-20 15:19:34,17.6812496,1068.92505,0.762499988,,
2025-11-20 15:19:35,17.6812496,1070.71252,0.962499976,,20.0
2025-11-20 15:19:36,17.6812496,1070.1438,0.587499976,,
2025-11-20 15:19:37,17.6812496,1070.1438,0.587499976,,
2025-11-20 15:19:38,17.6812496,1072.66248,0.6875,,
2025-11-20 15:19:39,17.6812496,1072.66248,0.6875,,
2025-11-20 15:19:40,17.6812496,1072.66248,0.787500024,,20.0
2025-11-20 15:19:41,17.6812496,1072.66248,0.787500024,,
2025-11-20 15:19:42,17.6812496,1072.90625,0.787500024,,
2025-11-20 15:19:43,17.6812496,1072.90625,0.787500024,,
2025-11-20 15:19:44,17.6812496,1072.4187,0.75,,
2025-11-20 15:19:45,17.6812496,1072.4187,0.75,,20.0
2025-11-20 15:19:46,17.6812496,1073.63745,0.550000012,,
